index,user_query,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
0,editor_124,2.0,3.0,4.0,5.0,1.0,2.0,1.0,3.0,3.0,1.0,3.0,1.0,4.0,2.0,2.0,1.0,4.0,1.0,3.0,2.0,3.0,3.0,3.0,2.0,4.0,2.0,1.0,1.0,4.0,1.0
1,editor_144,4.0,2.0,5.0,2.0,5.0,1.0,5.0,2.0,2.0,3.0,4.0,4.0,2.0,2.0,1.0,1.0,1.0,4.0,1.0,5.0,5.0,1.0,3.0,1.0,5.0,5.0,3.0,2.0,4.0,5.0
2,editor_161,4.0,4.0,1.0,3.0,1.0,5.0,5.0,4.0,4.0,1.0,4.0,3.0,5.0,3.0,4.0,3.0,1.0,3.0,2.0,3.0,5.0,2.0,1.0,2.0,2.0,4.0,2.0,4.0,5.0,4.0
3,editor_164,1.0,2.0,1.0,1.0,1.0,4.0,1.0,1.0,3.0,4.0,5.0,1.0,1.0,5.0,3.0,5.0,2.0,5.0,4.0,1.0,1.0,5.0,1.0,2.0,4.0,1.0,4.0,5.0,4.0,3.0
4,editor_166,3.0,4.0,3.0,4.0,2.0,2.0,5.0,1.0,4.0,5.0,5.0,4.0,5.0,3.0,3.0,5.0,4.0,5.0,5.0,1.0,4.0,2.0,3.0,3.0,2.0,3.0,4.0,1.0,4.0,3.0
5,editor_167,3.0,2.0,1.0,5.0,1.0,2.0,3.0,2.0,2.0,4.0,2.0,4.0,1.0,3.0,3.0,2.0,5.0,2.0,3.0,5.0,1.0,3.0,2.0,1.0,4.0,2.0,1.0,5.0,2.0,5.0
6,editor_17,5.0,3.0,2.0,1.0,5.0,2.0,1.0,4.0,5.0,5.0,5.0,1.0,1.0,5.0,2.0,4.0,3.0,4.0,4.0,3.0,1.0,3.0,5.0,3.0,4.0,4.0,2.0,1.0,3.0,4.0
7,editor_170,3.0,2.0,1.0,3.0,2.0,2.0,4.0,2.0,5.0,1.0,5.0,2.0,5.0,1.0,3.0,2.0,1.0,1.0,3.0,1.0,1.0,2.0,3.0,5.0,1.0,3.0,5.0,4.0,1.0,1.0
8,editor_180,3.0,5.0,1.0,1.0,5.0,4.0,4.0,2.0,3.0,4.0,5.0,5.0,3.0,2.0,1.0,4.0,2.0,4.0,3.0,1.0,4.0,2.0,3.0,1.0,1.0,1.0,3.0,4.0,5.0,1.0
9,editor_182,1.0,5.0,2.0,4.0,4.0,3.0,3.0,4.0,4.0,5.0,1.0,5.0,5.0,3.0,1.0,3.0,5.0,2.0,4.0,2.0,2.0,2.0,4.0,2.0,2.0,4.0,3.0,5.0,2.0,2.0
10,editor_193,5.0,5.0,5.0,2.0,5.0,5.0,4.0,5.0,5.0,4.0,3.0,3.0,1.0,3.0,5.0,3.0,5.0,5.0,5.0,1.0,2.0,2.0,1.0,4.0,1.0,5.0,3.0,3.0,3.0,3.0
